0,Player,Pos,College,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,Expected WS by Pick %,Expected WS by Pick,(Actual WS - Expected (By Pick))* .5,Next 3 Position Avg WS,(Actual WS - Expected (Next 3))*.5,Draft Score,Z-Score,FIC,Year,VA,TPA
1,John Wall,G,Kentucky,573,35.9,19,4.3,9.2,1.7,0.7,0.433,0.457,0.324,0.781,44.3,0.072023977,51.1442259,-3.422112952,21.13333333,11.58333333,8.161220378,0.47,466.2,2010,7.05,
2,Evan Turner,G,Ohio State,705,26.9,9.7,4.6,3.5,0.8,0.3,0.434,0.458,0.294,0.782,20.2,0.059848272,42.49825794,-11.14912897,19.76666667,0.216666667,-10.9324623,-0.89,538.9,2010,8.5,
3,Derrick Favors,F,Georgia Tech,683,25.6,11.4,7.4,1.1,0.8,1.3,0.53,0.54,0.207,0.661,53.6,0.052636508,37.3771846,8.1114077,34.73333333,9.433333333,17.54474103,1.14,434.9,2010,6.65,
4,Wesley Johnson,F,Syracuse,609,22.1,7,3.2,1.1,0.8,0.7,0.404,0.46,0.337,0.741,10.7,0.047578908,33.78578252,-11.54289126,50.4,-19.85,-31.39289126,-2.35,528.625,2010,8.81,
5,DeMarcus Cousins,C,Kentucky,565,32,21.2,10.9,3.2,1.4,1.2,0.461,0.477,0.332,0.737,44.1,0.043645219,30.99246979,6.553765104,23.23333333,10.43333333,16.98709843,1.1,520.9,2010,8.07,
6,Ekpe Udoh,C,Baylor,384,14.8,3.5,2.9,0.7,0.5,1.1,0.453,0.455,0,0.718,10.4,0.040460804,28.73121664,-9.165608318,23.2,-6.4,-15.56560832,-1.22,570,2010,8.22,
7,Greg Monroe,C,Georgetown,632,27.7,13.2,8.3,2.1,1.1,0.6,0.514,0.515,0.059,0.704,49.7,0.037744685,26.8025007,11.44874965,6.966666667,21.36666667,32.81541632,2.23,512.875,2010,8.25,
8,Al-Farouq Aminu,F,Wake Forest,688,25.1,7.6,6.1,1.2,1,0.6,0.421,0.467,0.335,0.745,27.5,0.035403203,25.13981456,1.180092722,55.2,-13.85,-12.66990728,-1.02,402.6,2010,6.36,
9,Gordon Hayward,F,Butler,641,30.8,15.3,4.4,3.5,1,0.4,0.451,0.49,0.366,0.823,53.7,0.033342699,23.67665074,15.01167463,47.5,3.1,18.11167463,1.18,467.2,2010,8,
10,Paul George,F,Fresno State,652,33.5,20,6.4,3.4,1.7,0.4,0.433,0.47,0.381,0.846,70,0.031469514,22.34650183,23.82674909,26.56666667,21.71666667,45.54341576,3.14,376.5,2010,4.3,
11,Cole Aldrich,C,Kansas,339,10,3.1,3.3,0.5,0.4,0.7,0.527,0.527,,0.738,9.6,0.029783647,21.1493678,-5.774683899,3.733333333,2.933333333,-2.841350566,-0.32,512.6,2010,8.19,
12,Xavier Henry,G,Kansas,185,15.7,5.7,1.9,0.6,0.5,0.1,0.406,0.419,0.325,0.635,0.8,0.028285099,20.08524866,-9.642624332,20.6,-9.9,-19.54262433,-1.51,325.9,2010,5.65,
